title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Feeling Minnesota,1996-09-13,99.0,0,0,10.298582,5.5,29.0,0
Mr. Smith Goes to Washington,1939-10-19,129.0,1500000,9600000,8.168694,7.9,245.0,6600000
Raising Arizona,1987-03-01,94.0,6000000,29180280,14.011415,7.2,548.0,17180280
Ghosts of Mississippi,1996-12-20,130.0,0,0,15.50082,6.2,40.0,0
My Own Private Idaho,1991-10-17,104.0,2500000,0,7.289727,7.1,218.0,-5000000
Whos Afraid of Virginia Woolf?,1966-06-21,131.0,7500000,33736689,5.564294,7.8,199.0,18736689
The Texas Chain Saw Massacre,1974-10-01,83.0,85000,30859000,15.526413,7.1,617.0,30689000
"Mystery, Alaska",1999-10-01,119.0,28000000,8888143,4.512767,6.0,71.0,-47111857
Blue Hawaii,1961-11-22,102.0,0,0,6.656799,5.2,32.0,0
The Kentucky Fried Movie,1977-08-10,83.0,600000,0,9.133988,6.4,67.0,-1200000
The Hotel New Hampshire,1984-03-09,109.0,7500000,0,2.895566,5.8,26.0,-15000000
Sweet Home Alabama,2002-09-26,108.0,30000000,180622424,8.587129,6.1,408.0,120622424
"Vernon, Florida",1981-10-08,55.0,0,0,1.320642,6.9,15.0,0
Gangs of New York,2002-12-14,167.0,100000000,193772504,14.922399,7.1,1964.0,-6227496
Abe Lincoln in Illinois,1940-02-12,110.0,0,0,0.793627,6.0,4.0,0
The Missouri Breaks,1976-05-19,126.0,0,0,2.615078,6.2,41.0,0
The Oh in Ohio,2006-03-30,88.0,5000000,0,7.502117,5.8,27.0,-10000000
King of California,2007-01-24,93.0,0,1027699,13.088825,6.5,104.0,1027699
Going to Kansas City,1998-07-31,97.0,0,0,0.100491,5.0,2.0,0
The Haunting in Connecticut,2009-03-27,102.0,0,77527732,10.80374,6.0,317.0,77527732
The Man From Utah,1934-05-15,55.0,0,0,2.098026,4.1,8.0,0
Hannah Montana: The Movie,2009-04-10,102.0,35000000,155545279,6.332878,6.0,465.0,85545279
The Oklahoma Kid,1939-03-11,85.0,0,0,0.894215,5.7,5.0,0
12th & Delaware,2010-04-01,90.0,0,0,0.155882,8.4,4.0,0
The Wild and Wonderful Whites of West Virginia,2009-04-01,86.0,0,0,1.378839,6.5,27.0,0
"Eversmile, New Jersey",1989-09-11,91.0,0,0,0.511066,5.5,2.0,0
The Haunting in Connecticut 2: Ghosts of Georgia,2013-02-01,101.0,0,0,8.61296,5.6,177.0,0
The Redhead from Wyoming,1953-01-08,77.0,0,0,0.154625,5.0,4.0,0
Wanda Nevada,1979-06-01,107.0,0,2411145,1.267946,6.5,9.0,2411145
"Stockholm, Pennsylvania",2015-01-22,99.0,0,0,6.173635,5.4,30.0,0
Lady from Louisiana,1941-04-22,82.0,0,0,0.261899,5.1,5.0,0
The Princess of Nebraska,2008-06-20,77.0,0,0,0.664931,5.4,4.0,0
Old Fashioned: The Story of the Wisconsin Supper Club,2015-04-10,51.0,0,0,0.057691,10.0,1.0,0
Five Nights in Maine,2016-08-05,82.0,0,0,1.448776,5.4,14.0,0
USS Indianapolis: Men of Courage,2016-09-22,128.0,40000000,0,13.417585,6.0,124.0,-80000000
Justin Timberlake + The Tennessee Kids,2016-09-13,90.0,0,0,0.805846,7.8,11.0,0
Youth in Oregon,2017-02-03,105.0,0,0,2.640601,6.9,11.0,0
Moonlight in Vermont,2017-04-08,90.0,0,0,0.546812,7.3,3.0,0
