us_state,title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Alabama,Selma,2014-12-25,127,20000000,66787908,7.107071,7.4,835,26787908
Alaska,Into the Wild,2007-09-11,148,15000000,56255142,15.423538,7.8,3139,26255142
Arizona,3:10 to Yuma,2007-09-06,122,55000000,70016220,18.079094,6.9,1210,-39983780
Arkansas,Walk the Line,2005-09-13,136,28000000,186438883,11.476443,7.3,732,130438883
California,Inside Out,2015-06-09,94,175000000,857611174,23.985587,7.9,6737,507611174
Colorado,Misery,1990-11-28,107,20000000,61276872,15.020845,7.6,1085,21276872
Connecticut,Revolutionary Road,2008-12-19,119,35000000,75225693,12.265867,6.8,824,5225693
Delaware,Goosebumps,2015-08-05,103,58000000,158162788,12.365292,6.2,1022,42162788
Florida,Scarface,1983-12-08,170,25000000,65884703,11.299673,8,3017,15884703
Georgia,Ride Along 2,2016-01-14,102,40000000,124827316,9.420931,6.1,567,44827316
Hawaii,Battleship,2012-04-11,131,209000000,303025485,13.106966,5.5,2141,-114974515
Idaho,My Own Private Idaho,1991-10-17,104,2500000,0,7.289727,7.1,218,-5000000
Illinois,Source Code,2011-03-30,93,32000000,147332697,9.796962,7.1,2752,83332697
Indiana,An American Crime,2007-07-27,97,2000000,0,7.478007,7.3,165,-4000000
Iowa,Star Trek,2009-05-06,127,150000000,385680446,15.362632,7.4,4574,85680446
Kansas,Oz: The Great and Powerful,2013-03-07,130,200000000,491868548,11.137329,5.7,3576,91868548
Kentucky,Elizabethtown,2005-10-06,123,57000000,52034889,11.82081,6.1,335,-61965111
Louisiana,Déjà Vu,2006-11-22,126,75000000,180557550,14.922904,6.6,1519,30557550
Maine,The Iron Giant,1999-08-06,86,70000000,23159305,15.441459,7.6,1470,-116840695
Maryland,Step Up,2006-08-11,104,12000000,114194847,14.21769,6.7,1092,90194847
Massachusetts,The Departed,2006-10-05,151,90000000,289847354,18.515448,7.9,4455,109847354
Michigan,Gran Torino,2008-12-09,116,33000000,269958228,14.794228,7.8,3181,203958228
Minnesota,Rio,2011-04-03,96,90000000,484635760,10.403228,6.5,2213,304635760
Mississippi,Django Unchained,2012-12-25,165,100000000,425368238,19.785025,7.8,10297,225368238
Missouri,The Day After,1983-11-20,127,0,0,10.099175,6.7,97,0
Montana,Nebraska,2013-09-21,115,12000000,17654912,11.160699,7.4,648,-6345088
Nebraska,Nebraska,2013-09-21,115,12000000,17654912,11.160699,7.4,648,-6345088
Nevada,Oceans Eleven,2001-12-07,116,85000000,450717150,12.114932,7.2,3857,280717150
New Hampshire,The Brown Bunny,2004-08-27,93,10000000,0,4.735377,5.5,63,-20000000
New Jersey,Don Jon,2013-07-26,90,6000000,0,10.948605,5.9,1708,-12000000
New Mexico,Wild Hogs,2007-03-02,100,0,253625427,11.356011,5.7,666,253625427
New York,The Wolf of Wall Street,2013-12-25,180,100000000,392000694,16.382422,7.9,6768,192000694
North Carolina,Safe Haven,2013-02-07,115,28000000,97594140,7.598422,6.9,840,41594140
North Dakota,Fargo,1996-04-05,98,7000000,60611975,12.61469,7.7,2080,46611975
Ohio,Super 8,2011-06-08,112,50000000,260095987,19.529911,6.6,2496,160095987
Oklahoma,Twister,1996-05-10,113,92000000,494471524,8.739144,6.1,966,310471524
Oregon,If I Stay,2014-08-21,106,11000000,78874843,9.659244,7.3,1415,56874843
Pennsylvania,Rocky,1976-11-21,119,1000000,117235147,14.774066,7.5,1843,115235147
Rhode Island,"Me, Myself & Irene",2000-06-22,116,51000000,149270999,9.95456,6.1,956,47270999
South Carolina,The Secret Life of Bees,2008-09-17,114,11000000,38105395,6.390463,7.4,159,16105395
South Dakota,Son in Law,1993-07-02,95,0,36448200,9.122718,5.6,81,36448200
Tennessee,The Blind Side,2009-11-20,129,29000000,309208309,12.753109,7.2,1626,251208309
Texas,No Country for Old Men,2007-11-08,122,25000000,171600000,15.565484,7.7,3083,121600000
Utah,127 Hours,2010-11-05,94,18000000,35692920,11.176797,7,2668,-307080
Vermont,Thank You for Smoking,2005-09-05,92,6500000,24793509,9.369527,7.1,670,11793509
Virginia,Lawless,2012-08-29,115,26000000,53676580,7.968423,6.8,1055,1676580
Washington,The Twilight Saga: New Moon,2009-03-15,130,50000000,709827462,30.121292,5.6,2518,609827462
West Virginia,Tucker and Dale vs Evil,2010-01-22,89,5000000,5476793,6.771868,7.3,860,-4523207
Wisconsin,The Straight Story,1999-10-15,112,10000000,0,14.580995,7.7,315,-20000000
Wyoming,Butch Cassidy and the Sundance Kid,1969-09-23,110,6000000,102308889,6.714577,7.4,659,90308889
